Year,Vi,Multi-adult,Multi-adult with children,"Multi-adult, 65+",Single,Single with children,"Single, 65+",min,max,Income_band
2019,12000,20631.90133734,40182.9553042738,9772.99407268282,10191.5445970757,25888.6139323792,5240.74460246397,"$12,000","$14,000","$12,000-$14,000"
2019,14000,26207.4242873027,60625.3685790208,12943.1373441912,7622.95892442411,19291.3282430357,9400.13788351985,"$14,000","$16,000","$14,000-$16,000"
2019,16000,23083.6611779749,71437.2618730603,16971.3549519917,5650.51596116182,18551.6167594434,15750.6643928676,"$16,000","$18,000","$16,000-$18,000"
2019,18000,26739.2929770773,88045.1020289226,32046.1868084867,6018.91592145849,15488.4926529714,21236.0817773152,"$18,000","$20,000","$18,000-$20,000"
2019,20000,31106.8628931249,91476.5029710511,61470.664315832,4811.10118042131,12666.0579209935,21493.4159486571,"$20,000","$22,000","$20,000-$22,000"
2019,22000,34600.8039534844,114188.433807379,50183.3257470703,4698.72324447849,10730.3684886338,13062.8231116624,"$22,000","$24,000","$22,000-$24,000"
2019,24000,27531.4929832869,108723.054471595,33180.9534825916,4740.43524548718,11455.2748313487,6825.29475595204,"$24,000","$26,000","$24,000-$26,000"
2019,26000,33426.3738384341,107011.528064104,32939.8400977867,5407.22873662354,8723.19544289721,4641.75783422774,"$26,000","$28,000","$26,000-$28,000"
2019,28000,34804.6187378248,110499.324356369,21473.6845487498,4897.62252567809,5071.71782967827,3762.9182271365,"$28,000","$30,000","$28,000-$30,000"
2019,30000,45221.6724612214,103828.685857704,21020.3824361354,4378.87937225231,3748.48303118988,3266.55464409762,"$30,000","$32,000","$30,000-$32,000"
2019,32000,30354.8897306531,105647.365314694,21825.868115811,4514.59537818549,2280.10486291556,3306.39235395948,"$32,000","$34,000","$32,000-$34,000"
2019,34000,38748.7602906508,106978.933205501,20409.2237129966,4974.56843395338,2885.45962356962,2266.61581083671,"$34,000","$36,000","$34,000-$36,000"
2019,36000,33983.5017744617,84005.7697930352,18397.4734554171,4492.02841982251,3735.37085724677,2341.86679615558,"$36,000","$38,000","$36,000-$38,000"
2019,38000,38171.8813699689,72438.6350798856,17941.2436298456,4345.45157675548,1830.91289655815,1984.27644291558,"$38,000","$40,000","$38,000-$40,000"
2019,40000,41863.8428031205,80125.4255839046,23209.0756379762,4219.04489291442,1422.63329681489,2119.11039008191,"$40,000","$42,000","$40,000-$42,000"
2019,42000,42981.3815654564,71920.4122726629,19683.0050427645,4609.91321686504,1262.09159325075,1585.34356067129,"$42,000","$44,000","$42,000-$44,000"
2019,44000,41841.1756047396,62529.8803612271,15999.6306553746,3122.04456880371,636.106259253225,1568.30684963209,"$44,000","$46,000","$44,000-$46,000"
2019,46000,46049.2362626253,61085.5782919063,18552.6897918789,3129.3789130002,589.063540018222,1521.75275607954,"$46,000","$48,000","$46,000-$48,000"
2019,48000,37644.0189565228,45532.4048724868,15141.1659774797,3554.22192025476,589.063540018222,1657.2502278563,"$48,000","$50,000","$48,000-$50,000"
2019,50000,36577.276225438,51701.034176132,16495.6273946459,2464.51214217069,569.126303653058,1459.38823770944,"$50,000","$52,000","$50,000-$52,000"
2019,52000,43690.3310082953,38996.724967998,13395.9791820401,2238.26515883795,517.920600820653,1223.18457593079,"$52,000","$54,000","$52,000-$54,000"
2019,54000,34537.458004548,35685.1354207883,11617.9751040445,2109.40803749682,517.920600820682,1140.36551535854,"$54,000","$56,000","$54,000-$56,000"
2019,56000,39081.3287088313,38677.1234643217,8449.03830014996,1742.54365605267,517.920600820653,843.030508782773,"$56,000","$58,000","$56,000-$58,000"
2019,58000,30644.3865949713,26091.9342276517,9305.54911907844,1536.22119678211,471.870257461065,870.477943100472,"$58,000","$60,000","$58,000-$60,000"
2019,60000,28905.8776225696,22101.1126630602,10667.6217630366,1770.85314158371,161.014526680432,956.306647730322,"$60,000","$62,000","$60,000-$62,000"
2019,62000,25915.979053122,23832.2860574957,7060.02144097909,1507.81564968394,161.014526680403,733.27760451712,"$62,000","$64,000","$62,000-$64,000"
2019,64000,27424.1545923153,23623.0474417578,7905.99715246004,1350.9093419518,161.014526680432,584.946048684156,"$64,000","$66,000","$64,000-$66,000"
2019,66000,24062.4009013262,18997.265482048,11708.7502444122,1530.4963462622,161.014526680403,584.946048684127,"$66,000","$68,000","$66,000-$68,000"
2019,68000,19044.6974015257,16852.4530729398,6703.60573061451,547.575949345221,161.014526680432,386.458725970675,"$68,000","$70,000","$68,000-$70,000"
2019,70000,16642.0824053399,14268.9087404544,5258.36944944039,547.575949345192,161.014526680432,368.39028778192,"$70,000","$72,000","$70,000-$72,000"
2019,72000,13869.8378184768,13279.0032665618,4820.67227892252,547.575949345221,161.014526680403,368.390287781891,"$72,000","$74,000","$72,000-$74,000"
2019,74000,13402.6952009329,11847.2935574818,4762.0098155163,605.158323156822,161.014526680432,368.39028778192,"$74,000","$76,000","$74,000-$76,000"
2019,76000,13735.9279757987,11030.0283896583,4968.97442582285,623.403489850549,161.014526680403,318.237476465351,"$76,000","$78,000","$76,000-$78,000"
2019,78000,13948.0243152869,10188.614799777,3094.49593381712,623.403489850549,161.014526680432,291.795389515552,"$78,000","$80,000","$78,000-$80,000"
2019,80000,16331.3873609479,9140.19036197662,2873.05629361991,673.235631203454,161.014526680432,291.795389515581,"$80,000","$82,000","$80,000-$82,000"
2019,82000,11981.9590774316,6257.61042550998,2706.96035998862,683.887645197479,161.014526680403,291.795389515581,"$82,000","$84,000","$82,000-$84,000"
2019,84000,9197.57404485205,6257.61042550998,2535.95865794923,651.103539244126,161.014526680432,291.795389515552,"$84,000","$86,000","$84,000-$86,000"
2019,86000,8399.56924542622,6257.61042550998,2535.95865794935,462.387469071167,81.4136591841816,257.697356070334,"$86,000","$88,000","$86,000-$88,000"
2019,88000,7741.38741353038,6214.79405378504,2372.30580272502,462.387469071196,58.4617320094258,167.484986308438,"$88,000","$90,000","$88,000-$90,000"
2019,90000,8300.62939413474,6190.95146311773,2323.93436267658,462.387469071167,58.4617320093967,167.484986308467,"$90,000","$92,000","$90,000-$92,000"
2019,92000,7889.98597492278,6190.9514631182,2323.93436267658,437.326956380712,58.4617320093967,167.484986308467,"$92,000","$94,000","$92,000-$94,000"
2019,94000,6034.50589872967,6190.95146311773,2569.84812938597,330.690822724137,58.4617320093967,167.484986308438,"$94,000","$96,000","$94,000-$96,000"
2019,96000,6033.56309109577,3538.68582017394,2630.27116992185,330.690822724137,58.4617320094258,167.484986308467,"$96,000","$98,000","$96,000-$98,000"
2019,98000,5609.03967054584,3481.5409798664,2434.23756077176,330.690822724107,58.4617320093967,167.484986308467,"$98,000","$100,000","$98,000-$100,000"
2019,1e+05,5609.03967054584,3481.54097986594,1537.87297372951,330.690822724137,58.4617320093967,167.484986308438,"$100,000","$102,000","$100,000-$102,000"
2019,102000,4485.54895971622,3481.54097986594,1537.87297372951,330.690822724107,58.4617320093967,167.484986308467,"$102,000","$104,000","$102,000-$104,000"
2019,104000,3771.56621852866,3481.5409798664,1537.87297372951,260.930566737196,58.4617320093967,167.484986308438,"$104,000","$106,000","$104,000-$106,000"
2019,106000,3771.56621852843,3481.54097986594,1537.87297372951,224.41696977109,58.4617320094258,69.2405083038611,"$106,000","$108,000","$106,000-$108,000"
2019,108000,3763.53152108355,3292.05337429,1171.16913448996,224.416969771119,58.4617320093967,58.3636115788831,"$108,000","$110,000","$108,000-$110,000"
2019,110000,3627.78213996859,3073.64777183672,1008.5171833972,224.416969771119,58.4617320093967,58.3636115788831,"$110,000","$112,000","$110,000-$112,000"
2019,112000,3627.78213996859,3073.64777183719,1008.51718339708,224.416969771119,58.4617320093967,58.363611578854,"$112,000","$114,000","$112,000-$114,000"
2019,114000,3627.78213996859,3073.64777183719,1008.5171833972,224.416969771119,58.4617320094258,58.3636115788831,"$114,000","$116,000","$114,000-$116,000"
2019,116000,3088.00298239477,3073.64777183719,1008.51718339708,224.416969771119,58.4617320093967,58.363611578854,"$116,000","$118,000","$116,000-$118,000"
2019,118000,2125.92148431367,3073.64777183719,1008.5171833972,224.41696977109,58.4617320093967,58.3636115788831,"$118,000","$120,000","$118,000-$120,000"
2019,120000,2125.92148431344,3073.64777183719,1008.51718339708,174.925115592952,58.4617320093967,58.3636115788831,"$120,000","$122,000","$120,000-$122,000"
2019,122000,2125.92148431367,2935.87834809069,731.409266400733,125.819016048888,58.4617320094258,58.363611578854,"$122,000","$124,000","$122,000-$124,000"
2019,124000,2125.92148431367,1466.02112568123,682.894134836621,125.819016048859,58.4617320093967,58.3636115788831,"$124,000","$126,000","$124,000-$126,000"
2019,126000,2125.92148431367,1466.02112568077,682.894134836504,125.819016048888,58.4617320093967,58.363611578854,"$126,000","$128,000","$126,000-$128,000"
2019,128000,2073.45336037315,1466.02112568123,682.894134836504,125.819016048888,58.4617320093967,58.3636115788831,"$128,000","$130,000","$128,000-$130,000"
2019,130000,1108.19108407456,1466.02112568123,682.894134836621,125.819016048888,58.4617320094258,58.3636115788831,"$130,000","$132,000","$130,000-$132,000"
2019,132000,1108.19108407479,1466.02112568123,682.894134836504,125.819016048888,58.4617320093967,58.363611578854,"$132,000","$134,000","$132,000-$134,000"
2019,134000,1108.19108407456,1466.02112568123,682.894134836504,125.819016048888,58.4617320093967,58.3636115788831,"$134,000","$136,000","$134,000-$136,000"
2019,136000,1108.19108407479,1466.02112568123,682.894134836621,125.819016048888,58.4617320093967,58.363611578854,"$136,000","$138,000","$136,000-$138,000"
2019,138000,1108.19108407456,1466.02112568077,682.894134836504,125.819016048888,58.4617320094258,58.3636115788831,"$138,000","$140,000","$138,000-$140,000"
2019,140000,1108.19108407479,1466.02112568123,682.894134836621,125.819016048888,58.4617320093967,58.3636115788831,"$140,000","$142,000","$140,000-$142,000"
2019,142000,1108.19108407456,1466.02112568123,467.094144668547,125.819016048888,58.4617320093967,58.363611578854,"$142,000","$144,000","$142,000-$144,000"
2019,144000,1108.19108407479,1466.02112568123,393.987139574601,125.819016048888,58.4617320093967,58.3636115788831,"$144,000","$146,000","$144,000-$146,000"
2019,146000,1108.19108407456,1466.02112568123,393.987139574485,125.819016048859,58.4617320094258,58.363611578854,"$146,000","$148,000","$146,000-$148,000"
2019,148000,1108.19108407479,1466.02112568123,393.987139574601,125.819016048888,58.4617320093967,58.3636115788831,"$148,000","$150,000","$148,000-$150,000"
2019,150000,1108.19108407456,1466.02112568077,393.987139574601,358.754469606414,58.4617320093967,58.3636115788831,"$150,000","$152,000","$150,000-$152,000"
2019,152000,1108.19108407479,1466.02112568123,393.987139574485,369.155917631375,58.4617320093967,58.363611578854,"$152,000","$154,000","$152,000-$154,000"
2019,154000,848.708708544262,5899.63904584292,393.987139574601,369.155917631404,58.4617320094258,58.3636115788831,"$154,000","$156,000","$154,000-$156,000"
2019,156000,835.268025752855,8672.20493506175,393.987139574601,369.155917631375,58.4617320093967,58.363611578854,"$156,000","$158,000","$156,000-$158,000"
2019,158000,835.268025752855,8672.20493506221,393.987139574601,369.155917631404,58.4617320093967,58.3636115788831,"$158,000","$160,000","$158,000-$160,000"
2019,160000,,,,,,,"$160,000",Max,">$160,000"
2020,0,9474.92264458509,14371.8169539626,7202.61283241919,2705.68170062933,2916.34381227501,758.148275368095,Min,"$2,000","<$2,000"
2020,2000,10005.3977098013,12512.9625228419,2884.18937412304,2903.93535486884,3635.4585968077,798.457403645552,"$2,000","$4,000","$2,000-$4,000"
2020,4000,10523.9554475114,14275.2114762346,2884.18937412304,4141.75965191568,4864.38849469211,802.347309574033,"$4,000","$6,000","$4,000-$6,000"
