Year,Vi,Multi-adult,Multi-adult with children,"Multi-adult, 65+",Single,Single with children,"Single, 65+",min,max,Income_band
2018,120000,4048.73146931944,2693.71711204527,1282.33971771342,295.169724717271,78.3815415258869,198.372873764718,"$120,000","$122,000","$120,000-$122,000"
2018,122000,3235.17991271522,2693.7171120448,1282.3397177133,295.169724717242,78.3815415258578,90.1090675259475,"$122,000","$124,000","$122,000-$124,000"
2018,124000,3235.17991271545,2356.58948421013,1282.33971771342,212.408698278683,78.3815415258869,90.0045679686882,"$124,000","$126,000","$124,000-$126,000"
2018,126000,3235.17991271522,1826.26355416188,833.670818153652,188.28926909063,78.3815415258869,90.0045679686591,"$126,000","$128,000","$126,000-$128,000"
2018,128000,2538.94788762112,1826.26355416235,695.003420013702,188.28926909063,78.3815415258578,90.0045679686882,"$128,000","$130,000","$128,000-$130,000"
2018,130000,1901.69688368752,1826.26355416188,695.003420013818,188.28926909063,78.3815415258869,90.0045679686882,"$130,000","$132,000","$130,000-$132,000"
2018,132000,1901.69688368728,1826.26355416188,695.003420013702,188.28926909063,78.3815415258869,90.0045679686591,"$132,000","$134,000","$132,000-$134,000"
2018,134000,1901.69688368752,1826.26355416188,695.003420013818,188.28926909063,78.3815415258578,90.0045679686882,"$134,000","$136,000","$134,000-$136,000"
2018,136000,1901.69688368728,1826.26355416188,695.003420013702,188.28926909063,78.3815415258869,90.0045679686882,"$136,000","$138,000","$136,000-$138,000"
2018,138000,1901.69688368752,1826.26355416235,695.003420013818,188.28926909063,78.3815415258578,90.0045679686591,"$138,000","$140,000","$138,000-$140,000"
2018,140000,1901.69688368728,1826.26355416188,695.003420013702,188.289269090659,78.3815415258869,90.0045679686882,"$140,000","$142,000","$140,000-$142,000"
2018,142000,1460.11353471014,1826.26355416188,695.003420013818,188.033459568309,78.3815415258869,90.0045679686882,"$142,000","$144,000","$142,000-$144,000"
